Stopped,Elapsed,Iterations,Average
10593,10.593000,10000,0.001059
21145,21.145000,20000,0.001057
6101,6.101000,10000,0.000610
12427,12.427000,20000,0.000621
10566,10.566000,10000,0.001057
21341,21.341000,20000,0.001067
10608,10.608000,10000,0.001061
3842,3.842000,10000,0.000384
1,0.001000,0,inf
